source,station_en,station_ar,matched_terminal_id,matched_terminal_name,fuzzy_score,semantic_score,nearest_terminal_m,semantic_ok,match_status,match_rule
S3_metro,Helwan,حلوان ‎,49,Helwan,100,1.0,153.32936812006434,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Ain Helwan,عين حلوان ‎,49,Helwan,75,0.8087803,355.92675102928143,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Helwan University metro station,جامعة حلوان ‎,122,Helwan Metro,55,0.7955093,463.39204478740226,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Wadi Hof,وادي حوف ‎,117,Hadaba Wosta (Moqattam),44,0.599807,1812.0663488539435,False,review_needed,below semantic or spatial threshold
S3_metro,Hadayek Helwan,حدائق حلوان ‎,172,Hadayeq Helwan,92,0.97249365,705.1454039187819,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Maasara,المعصرة ‎,269,Mazghuna,70,0.7504796,1469.5328898457487,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Tora El-Asmant,طرة الأسمنت ‎,223,Basateen,54,0.6153959,3805.9811885035783,False,review_needed,below semantic or spatial threshold
S3_metro,Kozzika,كوتسيكا ‎,245,Kafr Tohormos,50,0.73860645,3567.2138831884054,False,review_needed,below semantic or spatial threshold
S3_metro,Tora El-Balad,طرة البلد ‎,153,Qalyoub El Balad,48,0.69656014,2204.453158783697,False,review_needed,below semantic or spatial threshold
S3_metro,Sakanat El-Maadi,ثكنات المعادي ‎,250,Maadi Metro,51,0.8759604,1017.2483482276534,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Maadi,المعادي ‎,265,Shabramant,66,0.7673191,97.90314974173187,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Hadayek El-Maadi,حدائق المعادي ‎,203,Qism El Hadayek,64,0.81712186,527.473784806608,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Dar El-Salam,دار السلام ‎,281,Dar El Salam,91,0.9410974,330.68014136513676,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Zahraa',الزهراء ‎,143,Zahraa Ain Shams,54,0.70792115,29.97675595628046,False,review_needed,below semantic or spatial threshold
S3_metro,Mar Girgis ,مار جرجس ‎,197,Tibeen,54,0.8826858,465.6530598029367,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Malek El-Saleh,الملك الصالح ‎,231,Al Malek Al Saleh,70,0.8784015,255.48450770177445,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Al-Sayeda Zeinab,السيدة زينب ‎,274,Al Sayeda Zeinab,93,0.9636997,115.42465035689195,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Saad Zaghloul,سعد زغلول ‎,109,Zahraa Madinet Nasr,81,0.81233287,226.17880201012858,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Sadat,السادات ‎,265,Shabramant,53,0.6949016,630.8290471637623,False,review_needed,below semantic or spatial threshold
S3_metro,Nasser,جمال عبدالناصر ‎,251,Al Sheikh Mansour,61,0.85114324,136.1161564413278,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Orabi,عرابي ‎,197,Tibeen,58,0.8824508,508.23284247347624,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Al-Shohadaa ,الشهداء ‎,30,Abou Al Reesh,51,0.7346981,138.53903230992773,False,review_needed,below semantic or spatial threshold
S3_metro,Ghamra,غمرة ‎,156,Ghamra,100,1.0,102.5713072488301,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Demerdash,الدمرداش ‎,264,Abou El Numrus,52,0.6883757,827.7301932284679,False,review_needed,below semantic or spatial threshold
S3_metro,Manshiet El-Sadr,منشية الصدر ‎,139,Mostorod,68,0.5695771,595.9838309054323,False,review_needed,below semantic or spatial threshold
S3_metro,Kobri El-Qobba,كوبري القبة ‎,226,El Kafr (Birak Al Khiyam),57,0.7940723,273.85943495720716,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Hammamat El-Qobba,حمامات القبة ‎,166,Masaken Al Shorouq,58,0.6758368,778.2407734182411,False,review_needed,below semantic or spatial threshold
S3_metro,Saray El-Qobba,ساراي القبة ‎,330,Saray Al Qobba,85,0.85633695,91.79480457744478,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Hadayeq El-Zaitoun,حدائق الزيتون ‎,203,Qism El Hadayek,54,0.81973845,858.0116137136538,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Helmeyet El-Zaitoun,حلمية الزيتون ‎,147,Masaken Helmeyet Al Zaitoun,50,0.8071211,152.31070868365893,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Matareyya,المطرية ‎,89,Masallah Al Gadeda (Matareyya),59,0.807297,648.0839609268763,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Ain Shams,عين شمس ‎,103,Masaken Ain Shams,75,0.8008951,119.25352810173776,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Ezbet El-Nakhl,عزبة النخل ‎,145,Ezbet Al Nakhl,50,0.9140731,75.49113802877912,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Marg,المرج ‎,275,Ard El Lewaa,53,0.64877,607.1517486246167,False,review_needed,below semantic or spatial threshold
S3_metro,New El-Marg,المرج الجديدة ‎,85,New Marg,84,0.8417761,143.0262078649344,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Mounib,المنيب ‎,264,Abou El Numrus,53,0.77020776,164.26720249750895,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Sakiat Mekky,ساقية مكي ‎,265,Shabramant,44,0.7312695,1157.2458244958134,False,review_needed,below semantic or spatial threshold
S3_metro,Omm El-Masryeen ,أم المصريين ‎,159,Mosheer Ahmed Ismail (Sheraton),46,0.69129544,1210.5065837663153,False,review_needed,below semantic or spatial threshold
S3_metro,El Giza,الجيزة ‎,279,Giza Square,44,0.8542199,713.0391014382978,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Faisal,فيصل ‎,252,Awwel Faisal,66,0.8561728,84.12861687294433,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Cairo University,جامعة القاهرة ‎,253,Cairo University,100,1.0,43.33798880162225,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El Bohoth,البحوث ‎,126,Bohooth (Al Kobri Al Khashab),50,0.69222593,182.26107671478766,False,review_needed,below semantic or spatial threshold
S3_metro,Dokki,الدقي ‎,194,Jazirat Mohamed,100,0.81282854,112.34989912271234,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Opera,الأوبرا ‎,35,Masraweya,50,0.48412728,1137.0413399071003,False,review_needed,below semantic or spatial threshold
S3_metro,Sadat,السادات ‎,265,Shabramant,53,0.6949016,630.8290471637623,False,review_needed,below semantic or spatial threshold
S3_metro,Mohamed Naguib,محمد نجيب ‎,251,Al Sheikh Mansour,48,0.7399019,856.5723003243155,False,review_needed,below semantic or spatial threshold
S3_metro,Attaba,العتبة ‎,158,Attaba,100,0.9999999,330.2115427641897,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Al-Shohadaa ,الشهداء ‎,30,Abou Al Reesh,51,0.7346981,138.53903230992773,False,review_needed,below semantic or spatial threshold
S3_metro,Masarra,مسرة ‎,133,Masarra,100,1.0,525.4547472331028,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Road El-Farag,روض الفرج ‎,342,Mabyadah Square - Rod El Farag,51,0.74087757,30.453760637011012,False,review_needed,below semantic or spatial threshold
S3_metro,St. Teresa,سانتا تريزا ‎,135,Kattameya Church,57,0.52101916,863.1808456371709,False,review_needed,below semantic or spatial threshold
S3_metro,Khalafawy,الخلفاوي ‎,256,Khalafawy Square,72,0.59549856,46.31445708738483,False,review_needed,below semantic or spatial threshold
S3_metro,Mezallat,المظلات ‎,189,Mazallat,87,0.92844456,164.66289646342943,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Kolleyyet El-Zeraa,كلية الزراعة ‎,248,Kolleyet Al Zeraah (Ain Shams University),45,0.72203577,28.476665975556273,False,review_needed,below semantic or spatial threshold
S3_metro,Shubra El-Kheima,شبرا الخيمة ‎,226,El Kafr (Birak Al Khiyam),58,0.76530105,253.00564641079666,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Adly Mansour,عدلي منصور ‎,265,Shabramant,68,0.7651348,1404.2161796406006,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El Haykestep,الهايكستب ‎,265,Shabramant,59,0.6431565,478.5725203236202,False,review_needed,below semantic or spatial threshold
S3_metro,Omar Ibn El-Khattab,عمر بن الخطاب ‎,194,Jazirat Mohamed,42,0.8637583,603.4817975752746,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Qobaa,قباء ‎,97,Qalyoub,60,0.81765693,1776.6749185901137,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Hesham Barakat,هشام بركات ‎,168,Al Banhawi,55,0.7566937,1086.5189095273893,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,El-Nozha,النزهة ‎,264,Abou El Numrus,46,0.7764144,391.54723923153017,True,accepted,semantic_score>=0.75 and nearest_terminal<2000m
S3_metro,Nadi El-Shams,نادي الشمس ‎,264,Abou El Numrus,50,0.7093736,486.4705229144425,False,review_needed,below semantic or spatial threshold
